10-ЛЕТИЕ	["6950-N", "125912-N", "2192-N"]	['ПАМЯТНАЯ ДАТА', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ЮБИЛЕЙ']
10-ЛЕТИЕ	["106720-N", "106723-N"]	['ВРЕМЯ, ПРОДОЛЖИТЕЛЬНОСТЬ', 'ПРОМЕЖУТОК ВРЕМЕНИ']
20-ЛЕТИЕ	["6950-N", "125912-N", "2192-N"]	['ПАМЯТНАЯ ДАТА', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ЮБИЛЕЙ']
200-ЛЕТИЕ	["6950-N", "125912-N", "2192-N"]	['ПАМЯТНАЯ ДАТА', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ЮБИЛЕЙ']
30-ЛЕТИЕ	["6950-N", "125912-N", "2192-N"]	['ПАМЯТНАЯ ДАТА', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ЮБИЛЕЙ']
300-ЛЕТИЕ	["6950-N", "125912-N"]	['ПАМЯТНАЯ ДАТА', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)']
400-ЛЕТИЕ	["6950-N", "125912-N", "2192-N"]	['ПАМЯТНАЯ ДАТА', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ЮБИЛЕЙ']
4G	["2569-N", "7500-N"]	['РАДИОТЕЛЕФОННАЯ СВЯЗЬ', 'СОТОВАЯ СВЯЗЬ']
500-ЛЕТИЕ	["6950-N", "125912-N"]	['ПАМЯТНАЯ ДАТА', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)']
60-ЛЕТИЕ	["6950-N", "125912-N", "2192-N"]	['ПАМЯТНАЯ ДАТА', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ЮБИЛЕЙ']
600-ЛЕТИЕ	["6950-N", "125912-N", "2192-N"]	['ПАМЯТНАЯ ДАТА', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ЮБИЛЕЙ']
70-ЛЕТИЕ	["6950-N", "125912-N", "2192-N"]	['ПАМЯТНАЯ ДАТА', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ЮБИЛЕЙ']
700-ЛЕТИЕ	["6950-N", "125912-N"]	['ПАМЯТНАЯ ДАТА', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)']
80-ЛЕТИЕ	["6950-N", "125912-N"]	['ПАМЯТНАЯ ДАТА', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)']
90-ЛЕТИЕ	["6950-N", "125912-N", "2192-N"]	['ПАМЯТНАЯ ДАТА', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)', 'ЮБИЛЕЙ']
900-ЛЕТИЕ	["6950-N", "125912-N"]	['ПАМЯТНАЯ ДАТА', 'ГОДОВЩИНА (КАЛЕНДАРНАЯ ДАТА)']
ADSL	["3429-N", "144041-N"]	['ПЕРЕДОВАЯ ТЕХНОЛОГИЯ', 'ЦИФРОВЫЕ ТЕХНОЛОГИИ']
ADSL	["6486-N", "4722-N"]	['КОММУНИКАЦИОННАЯ ИНФРАСТРУКТУРА', 'ЛИНИЯ СВЯЗИ']
ALIEXPRESS	["136233-N", "121978-N"]	['ИНТЕРНЕТ-МАГАЗИН', 'ИНТЕРНЕТ-САЙТ']
ANDROID	["4508-N", "9225-N"]	['ОПЕРАЦИОННАЯ СИСТЕМА', 'СИСТЕМНЫЕ ПРОГРАММНЫЕ СРЕДСТВА']
APRES-SKI	["106501-N", "134047-N"]	['ЗАНЯТИЕ, ДЕЯТЕЛЬНОСТЬ', 'РАЗВЛЕЧЕНИЕ (ЗАНЯТИЕ)']
BITCOIN-АВТОМАТ	["147166-N", "152172-N"]	['ПЛАТЕЖНЫЙ ТЕРМИНАЛ', 'ТЕРМИНАЛ САМООБСЛУЖИВАНИЯ']
BITCOIN-ТЕРМИНАЛ	["147166-N", "152172-N"]	['ПЛАТЕЖНЫЙ ТЕРМИНАЛ', 'ТЕРМИНАЛ САМООБСЛУЖИВАНИЯ']
CD-ПЛЕЕР	["8689-N", "141930-N", "144670-N"]	['ЗВУКОВОСПРОИЗВОДЯЩАЯ АППАРАТУРА', 'ПЛЕЙЕР', 'АУДИОПЛЕЙЕР']
CD-ПЛЕЙЕР	["8689-N", "141930-N", "144670-N"]	['ЗВУКОВОСПРОИЗВОДЯЩАЯ АППАРАТУРА', 'ПЛЕЙЕР', 'АУДИОПЛЕЙЕР']
DSL	["3429-N", "144041-N"]	['ПЕРЕДОВАЯ ТЕХНОЛОГИЯ', 'ЦИФРОВЫЕ ТЕХНОЛОГИИ']
DSL	["6486-N", "4722-N"]	['КОММУНИКАЦИОННАЯ ИНФРАСТРУКТУРА', 'ЛИНИЯ СВЯЗИ']
DVD-ПРОИГРЫВАТЕЛЬ	["141930-N", "6994-N"]	['ПЛЕЙЕР', 'БЫТОВАЯ ЭЛЕКТРОНИКА']
FACEBOOK	["153344-N", "136983-N"]	['СОЦИАЛЬНАЯ СЕТЬ (ИНТЕРНЕТ-ПОРТАЛ)', 'ИНТЕРНЕТ-ПОРТАЛ']
FALCON	["5840-N", "139894-N", "6239-N", "6783-N"]	['БАЛЛИСТИЧЕСКАЯ РАКЕТА', 'МНОГОСТУПЕНЧАТАЯ РАКЕТА', 'РАКЕТНО-КОСМИЧЕСКАЯ ТЕХНИКА', 'РАКЕТА-НОСИТЕЛЬ']
GPS-НАВИГАТОР	["5383-N", "2686-N", "5384-N"]	['НАВИГАЦИОННОЕ ОБОРУДОВАНИЕ', 'РАДИОТЕХНИЧЕСКОЕ ОБОРУДОВАНИЕ', 'РАДИОНАВИГАЦИОННОЕ ОБОРУДОВАНИЕ']
IP-АДРЕС	["154760-N", "115646-N"]	['СЕТЕВОЙ АДРЕС', 'АДРЕС (МЕСТОНАХОЖДЕНИЕ ИЛИ ОБОЗНАЧЕНИЕ)']
IP-ТЕЛЕФОНИЯ	["2414-N", "1015-N"]	['ТЕЛЕФОННАЯ СВЯЗЬ', 'ТЕЛЕКОММУНИКАЦИОННАЯ СВЯЗЬ']
IP-ТЕЛЕФОНИЯ	["142813-N"]	['ИНТЕРНЕТ-ТЕХНОЛОГИЯ']
IP-ТЕЛЕФОНИЯ	["7064-N"]	['ПРЕДОСТАВЛЕНИЕ УСЛУГ']
IPAD	["151577-N", "149539-N"]	['ПЛАНШЕТНЫЙ КОМПЬЮТЕР', 'МОБИЛЬНЫЙ КОМПЬЮТЕР']
IPHONE	["136546-N", "145723-N"]	['СОТОВЫЙ ТЕЛЕФОН', 'СМАРТФОН']
LED-ДИСПЛЕЙ	["4513-N", "510-N", "7951-N"]	['ПЕРИФЕРИЙНОЕ ОБОРУДОВАНИЕ', 'ЭЛЕКТРОННОЕ ОБОРУДОВАНИЕ', 'ДИСПЛЕЙ']
MASTERCARD	["143208-N"]	['ПЛАТЕЖНАЯ КАРТА']
MASTERCARD	["147191-N"]	['БАНКОВСКАЯ КАРТА']
MOTOGP	["111793-N", "112598-N"]	['СПОРТИВНАЯ ГОНКА', 'МОТОЦИКЛЕТНЫЕ ГОНКИ']
MP3-ПЛЕЕР	["8689-N", "141930-N", "144670-N"]	['ЗВУКОВОСПРОИЗВОДЯЩАЯ АППАРАТУРА', 'ПЛЕЙЕР', 'АУДИОПЛЕЙЕР']
